place_id,name,lat,lng,types,rating,address,ID,vicinity
ChIJNaR8o_pfrxIRnX9vpMiDlP4,ESPORTS ROSSELL,42.55063309999999,1.5109413,"['store', 'point_of_interest', 'establishment']",3.4,"Av. del Ravell, 34, AD400 La Massana, Andorra",09b9ed6391d56f4d29dcc07154c31ad8ea589584,"Avinguda del Ravell, 34, La Massana"
ChIJ_3kd9TN9rxIRTP0kM2Mm7Dc,Résidence Pierre et Vacances Andorra Sunari Peretol,42.559658,1.685498,"['lodging', 'point_of_interest', 'establishment']",4.0,"Callissa de Cal Bernat, AD100 Bordes d'Envalira, Andorra",702d89a9acd6460515c4d3c7bbff091f57048506,"Callissa de Cal Bernat, Bordes d'Envalira"
ChIJB0XUbIt9rxIRZujzZVISAG4,El Zorro,42.541595,1.7327554,"['lodging', 'point_of_interest', 'establishment']",5.0,"Andorra, El Pas de la Casa, Carrer de catalunya 13邮政编码: AD200",aab27a84195ccf6d7d339c467bb6163809cbc772,"Carrer de catalunya 13, El Pas de la Casa"
ChIJvUncCtOKpRIREmcSGG_sROw,OUTLET ROCA RIBES,42.507836,1.523156,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",5.0,"Av. Meritxell, 5, AD500 Andorra la Vella, Andorra",2ba4432966b6c47014dc008eab4c23407dab8be8,"Avinguda Meritxell, 5, Andorra la Vella"
ChIJcYnhwtOKpRIR7I57teL3YX4,McDonald's,42.5078931,1.5250051,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"Av. Meritxell, 32, AD500 Andorra la Vella, Andorra",7307914ec89a0d9e1fa10f929cf64cef12ca95db,"Avinguda Meritxell, 32, Andorra la Vella"
ChIJf6Ie0ox9rxIR3bQV8jDz-Ak,Escola Andorrana i Francesa del Pas de la Casa,42.54470360000001,1.7340354,"['school', 'point_of_interest', 'establishment']",5.0,"AD200 El Pas de la Casa, Andorra",3b543e606682fd7b64efaf923e81d5fd59f924da,El Pas de la Casa
ChIJLcTxQyZirxIRf-qRT27FrI4,Hotel Roc del Castell,42.5676004,1.6015263,"['lodging', 'point_of_interest', 'establishment']",4.6,"Avenida Sant Joan de Caselles, 63, AD100 Canillo, Andorra",22dc71edaaea0f7b55225e0daee0b65131302572,"Avenida Sant Joan de Caselles, 63, Canillo"
ChIJVb4sWrmFpRIRLToRZJajd-E,Vall de la Llosa,42.4356538,1.701126,"['park', 'point_of_interest', 'establishment']",5.0,"Unnamed Road,, 25726 Lles de Cerdanya, Lleida, Spain",bfc97954a6feb159533cef26b01584c48ac530a5,"Unnamed Road,, Lles de Cerdanya"
ChIJ6VTjugyKpRIRXG5zN4fpCEg,BARBERIA MACIA,42.5344796,1.5797388,"['hair_care', 'health', 'point_of_interest', 'establishment']",5.0,"Carrer del Pas de la Casa, 1, AD200 Encamp, Andorra",764ea225b862b6ae45634ca13dc14c96e1cb81b7,"Carrer del Pas de la Casa, 1, Encamp"
ChIJk8RCC9qKpRIRCZCraq6Au-0,Bob Hairstore,42.5082301,1.5303401,"['store', 'point_of_interest', 'establishment']",,"Avinguda Meritxell 92-94, BOB, AD500 Andorra la Vella, Andorra",2a67a26dfce6f15773e0c7c1eea2528360ccf775,"Avinguda Meritxell 92-94, BOB, Andorra la Vella"
ChIJh5zEkQuKpRIRy-HPtyJKW3k,Farmàcia Baixench,42.53582600000001,1.582227,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']",5.0,"Nº, Plaça del Consell, 2, AD200 Encamp, Andorra",1a0c4b751d15e829bea31bd798ee37ba7115a15b,"Nº, Plaça del Consell, 2, Encamp"
ChIJUTGiV9qKpRIRKUkTx50dGCY,Financera d'Assegurances SA,42.50874280000001,1.5324463,"['insurance_agency', 'point_of_interest', 'establishment']",3.7,"Carrer Babot Camp, 11, AD500 Andorra la Vella, Andorra",4b823f00717636e8606b1d2401005446d786fd6e,"Carrer Babot Camp, 11, Andorra la Vella"
ChIJU0PC8tyKpRIRfn3Xb7j01Ow,Cal Magi,42.50932729999999,1.53667,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"s/n, Passeig de l'Arnaldeta de Caboet, AD700 Escaldes-Engordany, Andorra",f01ffe1d987b214555a4270a2dc3ff9112b353e6,"s/n, Passeig de l'Arnaldeta de Caboet, Escaldes-Engordany"
ChIJ1eZIBdGKpRIR2Z665cckpls,Escales Paris,42.508486,1.527536,"['clothing_store', 'store', 'point_of_interest', 'establishment']",5.0,"Av. Meritxell, 49, AD500 Andorra la Vella, Andorra",7f0bef930d25df77555097d4dd1c93fa32330977,"Avinguda Meritxell, 49, Andorra la Vella"
ChIJp5TCvdCKpRIRctdh9t5KQaM,MERCERIA UNI PUNT,42.5076026,1.5296822,"['store', 'point_of_interest', 'establishment']",,"Carrer Joan Maragall, 8, AD500 Andorra la Vella, Andorra",1a9801b0546b4af0fc8488537576b1e0f17c1cc8,"Carrer Joan Maragall, 8, Andorra la Vella"
