id,name,lat,long,type,adj_type
131746,Centre de Congressos d'Andorra la Vella,42.507019,1.522528,culture,culture
37111,BasÕ_lica Santuari de Meritxell,42.554748,1.590551,culture,culture
10016,EsglÕ©sia de Sant Jaume d'Engordany,42.513035,1.539923,culture,culture
10026,Oratori de la Mare de DÕ©u de l'Ecologia,42.528797,1.587937,culture,culture
10038,EsglÕ©sia de Sant Jaume dels Cortals,42.534329,1.603205,culture,culture
10050,Oratori de les Bons,42.538428,1.588119,culture,culture
7999,Centre Cultural i de Congressos LaurediÕ_,42.465117,1.490817,culture,culture
8001,Centre Cultural La Llacuna,42.50855,1.521904,culture,culture
71544,Teatre de les Fontetes,42.546634,1.514526,culture,culture
71551,Auditori Nacional d'Andorra,42.556877,1.534552,culture,culture
10078,Creu de Meritxell,42.557655,1.592103,culture,culture
10098,EsglÕ©sia de Sant Andreu del Prat del Campanar,42.575426,1.481692,culture,culture
10106,Pont d'Ordino,42.608739,1.537553,culture,culture
13456,Capella de Sant Andreu,42.510347,1.530714,culture,culture
10094,EsglÕ©sia de Sant Andreu d'Arinsal,42.572143,1.484004,culture,culture
10056,EsglÕ©sia de Sant Ermengol,42.543556,1.522553,culture,culture
9992,EsglÕ©sia de Sant Esteve de Bixessarri,42.48307,1.458495,culture,culture
10058,EsglÕ©sia de Sant Iscle i Santa VictÕ_ria,42.545009,1.51414,culture,culture
10036,EsglÕ©sia de Sant Joan de Sispony,42.533626,1.51595,culture,culture
9978,EsglÕ©sia de Sant JuliÕ_ i Sant GermÕ_,42.46377,1.490972,culture,culture
10032,EsglÕ©sia de Sant Marc i Santa Maria,42.532982,1.572018,culture,culture
9990,EsglÕ©sia de Sant MartÕ_ de Nagol,42.47493,1.493506,culture,culture
10048,EsglÕ©sia de Sant Miquel de la Mosquera,42.535193,1.581777,culture,culture
10080,EsglÕ©sia de Sant Miquel de Prats,42.560377,1.59396,culture,culture
10052,EsglÕ©sia de Sant RomÕ_ de les Bons,42.538899,1.587053,culture,culture
10028,EsglÕ©sia de Sant RomÕ_ de Vila,42.531254,1.567738,culture,culture
10020,EsglÕ©sia de Sant RomÕ_ dels Vilars,42.51483,1.534734,culture,culture
10104,EsglÕ©sia de Sant Serni de Llorts,42.596396,1.526638,culture,culture
10022,EsglÕ©sia de Sant Antoni de la Grella,42.527642,1.520661,culture,culture
10086,EsglÕ©sia de Sant Roc de SornÕ_s,42.565078,1.527784,culture,culture
10082,EsglÕ©sia de Sant RomÕ_ d'Erts,42.561867,1.496925,culture,culture
10092,EsglÕ©sia de Sant Joan de Caselles,42.570863,1.607788,culture,culture
10088,EsglÕ©sia de Sant Serni de Canillo,42.567514,1.597446,culture,culture
10096,Centre de Natura de la Cortinada,42.5744,1.519381,culture,culture
10060,Centre d'InterpretaciÕ_ Andorra RomÕ_nica,42.54584,1.475115,culture,culture
10062,La Farga Rossell - Centre d'InterpretaciÕ_,42.546315,1.521094,culture,culture
10042,EsglÕ©sia de Santa EulÕ_lia d'Encamp,42.534766,1.576652,culture,culture
10076,EsglÕ©sia de Sant Corneli i Sant CebriÕ_,42.556866,1.532851,culture,culture
10100,EsglÕ©sia de Sant MartÕ_ de La Cortinada,42.576663,1.517776,culture,culture
10064,EsglÕ©sia de Sant Climent de Pal,42.545974,1.475148,culture,culture
10044,EsglÕ©sia de Sant CristÕ_fol d'AnyÕ_s,42.534974,1.524469,culture,culture
9984,EsglÕ©sia de Sant Serni de Nagol,42.469549,1.501023,culture,culture
10010,EsglÕ©sia de Sant Pere MÕ_rtir,42.508778,1.541847,culture,culture
10014,EsglÕ©sia de Sant Miquel d'Engolasters,42.511462,1.560447,culture,culture
10024,Pont de Sant Antoni de la Grella,42.527642,1.520661,culture,culture
132082,Centre d'InterpretaciÕ_ del Comapedrosa CIC,42.571991,1.484056,culture,culture
8577,Galeria Art Vall,42.506727,1.534814,culture,culture
9964,EsglÕ©sia de Sant Esteve de Juberri,42.439753,1.490202,culture,culture
9968,Capella de Sant RomÕ_ d'AuvinyÕ_,42.454341,1.46349,culture,culture
9970,EsglÕ©sia de Sant Miquel de Fontaneda,42.454341,1.46349,culture,culture
9972,Capella de Sant Mateu de Pui d'Olivesa,42.459834,1.486017,culture,culture
9974,EsglÕ©sia de Sant Pere d'Aixirivall,42.462752,1.501933,culture,culture
