id,name,lat,long
10452,Restaurant Burger King,42.506132,1.532367
10454,Restaurant Burger King (Pas de la Casa),42.54139,1.732289
10456,Bar Cal Gutií©rrez,42.532457,1.574714
10458,Snack-Bar Els tres amics,42.511526,1.540672
10462,Bar Clixí© Bar,42.508813,1.541492
10466,Bar Restaurant Delgado,42.475765,1.486813
10468,Bar El Bon Cafí©,42.505268,1.527108
10470,Bar El Caliquenyíæ,42.502581,1.52011
10472,Bar Restaurant El Rosat,42.542331,1.733624
10476,Pastisseria El Tortell I,42.505666,1.514769
10480,Bar restaurant Els Jardins,42.510973,1.540436
10482,Bar Engordany,42.511582,1.541535
10484,Bar Forcarey,42.512392,1.542203
10488,Frankfurt Cerni,42.508434,1.522304
10490,Frankfurt El Cobert,42.566139,1.59835
10492,Frankfurt El Maresme,42.466173,1.492891
10494,Frankfurt Les Rodes,42.49806,1.502281
10500,Frankfurt Pedralbes,42.507849,1.532657
10504,Bar Glass Bar,42.575556,1.671111
10506,Bar GR 11,42.537258,1.585961
10510,Granja El Goig,42.49574,1.499248
10512,Cafeteria Sucre d'Or,42.504645,1.524063
10518,Granja Pastisseria Nou Estil,42.464737,1.491668
10520,Granja Roc Arnau,42.534643,1.577514
10524,Restaurant Palanques,42.545761,1.514418
10530,Restaurant Parador Canaro,42.579037,1.658769
10532,Snack-Bar Sant Eloi,42.45796,1.486971
10538,Bar KSB,42.540758,1.731758
10540,Granja La Cantonada,42.497362,1.502343
10542,Bar Restaurant La Caulla,42.464984,1.489908
10548,Bar La Riverola,42.453418,1.48706
10550,Restaurant McDonald's,42.508521,1.533526
10552,Restaurant McDonald's,42.543509,1.732031
10554,Restaurant McDonald's (McAuto),42.505136,1.528076
10556,Restaurant McDonald's,42.45983,1.489063
10558,Restaurant El temple Italiíæ,42.54305,1.734174
10560,Snack-Bar Off Piste,42.542224,1.730835
10568,Restaurant Pista Negra,42.543173,1.731854
10570,Bar Restaurant Pla de l'Estany,42.545397,1.514022
10574,Bar Pont dels Escalls,42.513551,1.534234
10576,Bar The Villager Tapas & Wine,42.576296,1.668515
10578,Bar Restaurant Cal Ruiz,42.544007,1.733329
10582,Bar El Cachirulo,42.507817,1.538172
10584,Snack-Bar Aparthotel Fijat,42.595049,1.52637
10586,Bo Bar,42.54241,1.733415
10588,Restaurant Valor,42.495446,1.498714
10590,Bar Restaurant Cent per Hora,42.461834,1.490689
10598,Granja Cafeteria Benvinguts,42.508578,1.540827
10600,CafíÂ de la Plaí_a - Bon Dia,42.506747,1.522382
10602,Bar Broques,42.533113,1.579086
10604,Restaurant Burger Roc,42.566574,1.599506
