id,name,lat,long
131746,Centre de Congressos d'Andorra la Vella,42.507019,1.522528
136159,Els Escaubells,42.497958,1.517362
9903,Esports Bringuí©,42.618721,1.539199
46076,Zoom.in,42.508975,1.528623
47044,Patrick Cava,42.542779,1.731836
47511,Supermercat Compra Bí© (Dia),42.54633,1.521851
47514,Natur House,42.468909,1.493325
7999,Centre Cultural i de Congressos Laurediíæ,42.465117,1.490817
71544,Teatre de les Fontetes,42.546634,1.514526
71551,Auditori Nacional d'Andorra,42.556877,1.534552
47513,L'Escala Electrí_nic Store,42.545185,1.733628
139009,Epic Andorra,42.495116,1.498189
138645,Bowling Lounge Andorra,42.504728,1.526209
135604,L'essíÂncia de les Valls,42.468431,1.491658
135578,Can Sona,42.453749,1.463714
131049,Excursions del Pirineu,42.504496,1.524378
44599,Tramuntanya,42.543756,1.523033
44597,Xplorand,42.555101,1.532977
44595,Peu de gat,42.535789,1.581941
43875,100% Natura - Guies de muntanya,42.549892,1.511669
97563,VSL Sports (Viu Sense Lí_mits),42.462122,1.498815
37079,Celler Mas Berenguer,42.459707,1.485573
19239,Cinemes Illa Carlemany,42.508686,1.534797
20524,Gicafer,42.554123,1.533532
15830,360 Extrem - Centre freestyle indoor d'Andorra,42.498788,1.505604
9901,Pas a Pas,42.533224,1.582809
9895,Muntanya Activa,42.536384,1.582662
9897,Guies d'Andorra - Natura i Aventura,42.566246,1.596558
9889,Desconnecta i Aventura't,42.530271,1.599106
9913,Bloc CafíÂ,42.505278,1.518463
9883,Ensagents Aventures,42.567778,1.601667
9885,Excursionisme Vertical,42.556504,1.532292
9891,Guies de Muntanya Adictes,42.506317,1.521835
18864,VOLTA'L- Andorra Segway Tour,42.54607,1.514838
103483,MTB Aventures,42.546453,1.524095
19314,Palau de Gel,42.56593,1.597832
