id,name,lat,long
9903,Esports Bringué,42.618721,1.539199
9926,Centre Eqüestre Nòrdic Aventura,42.577809,1.6502
9930,Club Hípic l'Aldosa de La Massana,42.54885,1.525536
9932,Rutes a cavall pel Parc Natural del Comapedrosa,42.579042,1.476706
139009,Epic Andorra,42.495116,1.498189
137019,Andorra 3000 Mountain Guides,42.496488,1.498567
131049,Excursions del Pirineu,42.504496,1.524378
131040,Gica'm Excursions,42.556666,1.53366
44599,Tramuntanya,42.543756,1.523033
44597,Xplorand,42.555101,1.532977
44595,Peu de gat,42.535789,1.581941
44578,Zerolimits Adventure Professionals,42.627764,1.494364
43875,100% Natura - Guies de muntanya,42.549892,1.511669
97563,VSL Sports (Viu Sense Límits),42.462122,1.498815
20524,Gicafer,42.554123,1.533532
9901,Pas a Pas,42.533224,1.582809
9895,Muntanya Activa,42.536384,1.582662
9897,Guies d'Andorra - Natura i Aventura,42.566246,1.596558
9889,Desconnecta i Aventura't,42.530271,1.599106
9887,Experiència en Muntanya,42.555461,1.532813
9883,Ensagents Aventures,42.567778,1.601667
9907,Heliand - Vols en helicòpter,42.547022,1.519876
9885,Excursionisme Vertical,42.556504,1.532292
9891,Guies de Muntanya Adictes,42.506317,1.521835
9893,"La Moixera, Educació Ambiental",42.505883,1.516883
18864,VOLTA'L- Andorra Segway Tour,42.54607,1.514838
103483,MTB Aventures,42.546453,1.524095
