id,name,lat,long
3083,Oficina de Turisme d'Andorra la Vella,42.508786,1.529126
3084,Oficina de Turisme d'Escaldes - Engordany,42.50913,1.542661
3085,Oficina de Turisme de Canillo,42.566438,1.599173
3086,Oficina de Turisme d'Encamp,42.536003,1.582061
12088,IF Rent / Lloguer de cotxes,42.50862,1.534455
3087,Oficina de Turisme de Pas de la Casa,42.54387,1.733858
12090,Cimex Auto-Rent,42.493773,1.498248
3088,Oficina de Turisme del Funicamp (Encamp),42.535311,1.588018
12094,Aparcament Prat de la Creu,42.506716,1.522489
3089,Oficina de Turisme d'Ordino,42.556485,1.532587
3090,Oficina de Turisme de La Massana,42.546789,1.514327
12096,Aparcament El TrillÃ ,42.508635,1.525702
3091,Oficina de Turisme de Sant JuliÃ  de LÃ_ria,42.466688,1.492413
12098,Aparcament Parc Central,42.507336,1.528033
3092,Agregadoria de Turisme i ComerÃ§ d'Andorra a Madrid (Espanya),40.420433,-3.687534
12100,Aparcament Fener 1,42.507805,1.536675
97300,Aeroport de Toulouse - Blagnac,43.630686,1.373312
12102,Aparcament Fener 2,42.506941,1.532807
11772,Direct bus (Barcelona Ciutat),41.380154,2.139825
12104,Aparcament Tobira,42.504198,1.51894
11774,Alsa (Barcelona Ciutat),41.394632,2.182456
12106,Aparcament del Ribal,42.503006,1.51931
11776,Direct bus (Barcelona-Aeroport),41.307281,2.080196
12108,Aparcament de Salou,42.502541,1.514735
11778,Novatel (Barcelona-Aeroport),41.307281,2.080196
12110,Aparcament Comunal,42.502039,1.519364
11780,Alsa (Lleida),41.611749,0.62337
12112,Aparcament comunal de Meritxell,42.507534,1.523479
11782,Grup Montmantell - AVE (Lleida),41.611749,0.62337
12114,Aparcament comunal Dr. Mitjavila,42.510816,1.533328
11784,Grup Montmantell (La Seu d'Urgell),42.359105,1.459173
12116,Aparcament de la Canadilla,42.534821,1.576324
12118,Aparcament d'Encamp,42.53384,1.577439
11786,Grup Montmantell (Tarragona i Reus),40.991929,0.921521
12120,Aparcament Terres Primeres Alt,42.532971,1.578094
11788,Hispano Igualadina (Tarragona i Reus),41.147666,1.111465
11790,Novatel (Girona),41.979177,2.817532
12122,Aparcament Terres Primeres Baix,42.532884,1.578094
12124,Aparcament de la Palanqueta,42.534607,1.579338
11792,Damar Tours (Salamanca),40.970104,-5.66354
12126,Aparcament Prat de BarÃ_,42.533919,1.581613
11794,Cooperativa Interurbana (Espanya i Portugal),41.811667,-8.860195
12128,Aparcament Prat de Sant Miquel,42.534908,1.581098
11796,Grup Montmantell (L'Hospitalet FranÃ§a),42.588621,1.799692
12130,Aparcament Prat de les Bons,42.537052,1.584646
11798,Novatel (Toulouse - Aeroport Blagnac),43.611194,1.453518
12132,Aparcament Prat del Pont,42.535103,1.580459
11800,Centre MÃ¨dic - La Massana,42.544922,1.514892
12134,Aparcament Comunal del Complex,42.535963,1.581307
11802,Centre MÃ¨dic - Ordino,42.5564,1.534682
12136,Aparcament del Complex Esportiu,42.535793,1.581033
12138,Aparcament del Tremat,42.53456,1.583474
11804,Centre MÃ¨dic - Santa Coloma,42.493915,1.497778
12140,Aparcament dels Espialassos,42.534046,1.585164
11806,Centre MÃ¨dic - Encamp,42.536151,1.581414
12142,Aparcament dels Arinsols,42.536378,1.583287
11808,Centre MÃ¨dic - Escaldes-Engordany,42.509561,1.539856
12144,Aparcament Prat de l'Areny,42.537098,1.583748
11810,Centre MÃ¨dic - Fiter i Rossell,42.51498,1.531421
12146,Aparcament Mitjorn,42.537161,1.583673
11812,Centre MÃ¨dic - Pas de la Casa,42.545212,1.730867
12148,Aparcament del Riu Aixec,42.537208,1.584628
11814,Centre MÃ¨dic - Sant JuliÃ  de LÃ_ria,42.465596,1.492397
12150,Aparcament Prat del LlaÃ§ - Funicamp,42.535611,1.587503
11816,Centre MÃ¨dic - El Fener,42.507991,1.531402
12152,Aparcament de les Feixes,42.535437,1.588801
11818,Correus,42.507471,1.529838
12154,Aparcament de les Abelletes,42.538631,1.733179
11820,Correus,42.509543,1.539631
12156,Aparcament dels CoprÃ_nceps,42.543714,1.732889
11822,Correus,42.545313,1.518618
12158,Aparcament Vertical,42.54573,1.730937
12160,Aparcament PlaÃ§a del Consell,42.544868,1.731699
11824,Correus,42.536489,1.582584
11826,Correus,42.463261,1.491126
12162,Aparcament del MaiÃ ,42.544726,1.733662
11828,Correus,42.541092,1.732238
12164,Aparcament Autocaravanes Pas de la Casa,42.544829,1.734982
12166,Aparcament del Bullidor,42.544765,1.734995
11830,Correus,42.566659,1.599616
12168,Aparcament la Closeta,42.544844,1.515437
11832,Correus,42.556469,1.532298
12170,Aparcament el FarrÃ© Negre,42.546793,1.514493
11834,La Poste,42.507297,1.528347
12172,Aparcament de l'Hospital,42.51152,1.533996
11836,La Poste,42.566661,1.599149
12174,Aparcament Av. del Fener,42.507637,1.536638
11838,La Poste,42.536489,1.582584
12176,Aparcament de Caldea,42.511253,1.53792
11840,La Poste,42.543799,1.516532
12178,Aparcament de Les Teulades - Els Vilars,42.515204,1.532148
11842,La Poste,42.541092,1.732238
12180,Aparcament de la Carretera d'Engolasters,42.51758,1.570804
11844,La Poste,42.556858,1.533172
12182,Aparcament de Sant Jaume,42.513025,1.543032
11846,La Poste,42.469145,1.492435
12184,Aparcament Til.lari,42.512007,1.539674
11848,Parada de Taxi - Av. Meritxell,42.508204,1.530576
12186,Aparcament PlaÃ§a Creu Blanca,42.510368,1.541879
11850,Parada de Taxi - EstaciÃ_ autobusos,42.50547,1.527647
12188,Aparcament de les BoÃ¯gues,42.507714,1.538917
11852,Parada de Taxi - Av. Carlemany,42.509132,1.542082
12190,Aparcament d'Autobusos del Prat Gran,42.509853,1.538993
11854,Parada de Taxi - Hospital de Meritxell,42.512109,1.534494
12192,Aparcament Prat del Roure,42.510727,1.535264
11856,Policia d'Andorra - Despatx Central,42.507433,1.538054
12194,Aparcament del Parnal,42.510387,1.538322
11858,Policia d'Andorra - Despatx Pas de la Casa,42.543957,1.73459
12196,Aparcament de les Nacions Unides,42.509802,1.53756
11860,Policia d'Andorra - Despatx de Sant JuliÃ  de LÃ_ria,42.465299,1.490229
12198,Aparcament Clot d'Emprivat 19,42.509407,1.536423
11862,Policia d'Andorra - Despatx d'Encamp,42.534188,1.579649
12200,Aparcament Clot d'Emprivat 2,42.508912,1.537407
11864,Policia d'Andorra - Despatx de Canillo,42.566708,1.59968
12202,Aparcament Clot d'Emprivat 3,42.509051,1.538499
12204,Aparcament Comunal,42.51155,1.541055
11866,Policia d'Andorra - Despatx de La Massana,42.544852,1.515644
12206,Aparcament Comunal dos Valires,42.511813,1.53612
11868,Policia d'Andorra - Urgencies,42.507433,1.538054
12208,Aparcament PlaÃ§a de l'Esglesia,42.508598,1.541677
11870,Rescat de Muntanya Andorra,42.494353,1.499687
12210,Aparcament L'Arenyeta,42.565843,1.601505
11872,SUM - Servei MÃ¨dic Urgent Andorra,42.512073,1.534108
12212,Aparcament Prat del Riu,42.565792,1.598559
11874,Bombers d'Andorra,42.494322,1.499655
12214,Aparcament dels Bassers,42.575949,1.669064
11876,Punt wi-fi PlaÃ§a del Poble,42.506778,1.52228
12216,Aparcament dels Refugis,42.566815,1.602094
11878,Punt wi-fi Oficina de Turisme d'Andorra la Vella,42.50862,1.529206
12218,Aparcament vies ferrades,42.567731,1.596236
11880,Punt wi-fi Parc Central,42.506068,1.526262
12220,Aparcament de l'hortal,42.566929,1.598473
11882,Punt wi-fi Andorra Telecom,42.50828,1.532685
12222,Aparcament Sant Joan de Caselles,42.570779,1.607424
12224,Aparcament dels Arenys,42.566218,1.597057
11884,Punt wi-fi Biblioteca PÃºblica del Govern,42.505577,1.523327
12226,Aparcament inici del Toll Bullidor (Molleres),42.554548,1.588788
11886,Punt wi-fi Prat del Roure,42.510875,1.535908
12228,Aparcament Santuari de Meritxell,42.554369,1.59
11888,Punt wi-fi Oficina de Turisme d'Escaldes-Engordany,42.509094,1.542783
12230,Aparcament pistes del Tarter,42.579045,1.649521
11890,Punt wi-fi Biblioteca d'Escaldes-Engordany,42.510837,1.539137
12232,Aparcament Jan del Sastre,42.585391,1.664498
11892,Punt wi-fi Oficina de Turisme de Canillo,42.566287,1.599356
12234,Aparcament Comunal,42.576656,1.666408
11894,Punt wi-fi ComÃº de Canillo,42.565903,1.601507
12236,Aparcament Prat de Call,42.556641,1.534967
11896,Punt wi-fi Biblioteca de Canillo,42.566021,1.601497
12238,Aparcament Camp de la Teneda,42.555121,1.533966
12240,Aparcament Prat de Vilella,42.555842,1.531852
11898,Punt wi-fi Centre de Congressos LaurediÃ ,42.465197,1.490396
11900,Punt wi-fi PlaÃ§a de la Germandat,42.465126,1.490857
12242,Aparcament Clota part alta,42.553683,1.529433
11902,Punt wi-fi Oficina de Turisme de Sant JuliÃ  de LÃ_ria,42.466605,1.492521
12244,Aparcament Clota part baixa,42.553487,1.528245
12246,Aparcament d'Arans,42.582288,1.518479
11904,Punt wi-fi Parc Infantil del Prat Gran,42.467811,1.492778
12248,Aparcament de Llorts,42.599825,1.532794
11906,Punt wi-fi Biblioteca de Sant JuliÃ  de LÃ_ria,42.465067,1.490385
12250,Aparcament El Vilar,42.57453,1.51872
11910,Punt wi-fi Prat de Call,42.556531,1.535206
12252,Aparcament Les Massanelles,42.573551,1.518331
11912,Punt wi-fi carrer Major d'Ordino,42.556676,1.533649
12254,Aparcament SornÃ s,42.564008,1.527475
11914,Punt wi-fi Centre Esportiu d'Ordino,42.556423,1.532164
12256,Aparcament Cobert El Puiet,42.555955,1.536436
11916,Punt wi-fi Biblioteca d'Ordino,42.556085,1.534589
