id,name,lat,long
8107,Covima,42.497316,1.509101
8109,Creacií_ d'Espais M.Molins,42.508835,1.527886
8115,Cubic,42.50057,1.50922
8117,Cuca Distribucií_,42.505113,1.518628
8119,Dakota,42.508026,1.532359
8121,Dandy Esports,42.509065,1.543584
8125,Daytona 2000 SL,42.542603,1.733836
8129,Decotres (Deco 3),42.508264,1.523004
8135,Denver,42.508493,1.534178
8137,Desigual,42.508161,1.530785
8143,Dinou d'Abril - 19 d'Abril,42.508315,1.534127
8147,Dirk Bikkembergs,42.508566,1.534832
8151,Ovs Kids,42.50786,1.523476
8153,Dubtes,42.507762,1.520775
8155,Dugar,42.505045,1.525469
8159,D'Votion,42.542971,1.732214
8161,Edifici del Telecabina de Canillo,42.565843,1.601855
8163,El Basar de l'Automobilista,42.501481,1.510877
8167,El Celler del Pirineu,42.507809,1.521022
8169,El Graner de Paris,42.507965,1.522977
8173,El Pergamí_,42.465966,1.491858
8175,El Punt,42.465665,1.49188
8177,El Quiosc (Punt de Trobada),42.447449,1.481996
8181,El Taller,42.508468,1.534279
8189,Elit Auto / Lexus,42.512922,1.537085
8193,En Grup,42.501592,1.519546
9164,Orly,42.507939,1.52482
8201,CCA - SUPER U,42.508046,1.533537
8632,Grup Aurí_ Jardiners,42.476365,1.489489
9166,OrtopíÂdia Albert Llovera,42.509978,1.531858
9168,OrtomíÂdic OrtopíÂdia Jordi Flaquí©,42.512661,1.53512
8636,Campus,42.542762,1.734888
9170,OrtopíÂdia Tejero,42.507394,1.531894
8212,Esports Altitud,42.507607,1.533325
9172,íñs d'Or,42.508153,1.529205
9178,Oxanla,42.509879,1.531461
9180,Oysho,42.508157,1.531327
9182,Paddock Moto,42.543578,1.7315
9186,Panther Pelleteria,42.536766,1.580562
9189,Papereria Cric,42.552503,1.540042
9190,Papereria La Girgola,42.510757,1.541745
9194,Papereria Premsa Tadora Joguines,42.545801,1.51414
8222,Esports Caubella,42.544679,1.475462
9198,Rellotgeria Patagonia,42.507475,1.530152
9200,Patxoca,42.507991,1.53399
8228,Esports El Punt,42.447322,1.482038
8232,Esports Elit,42.567394,1.602342
9204,Peak Performance,42.508693,1.534671
9206,Pebre Blau,42.545862,1.514421
8656,Centre Comercial Hiper Andorra - E.Leclerc,42.508347,1.532271
9208,Peixateria Fernandez,42.534924,1.582026
8234,Esports Espunyes,42.579551,1.641426
8236,Esports Eternal 3,42.465651,1.49177
9683,Sussi,42.508643,1.538738
8659,Ikka's,42.507327,1.529044
9210,Pelleteria Aries,42.508487,1.522229
19217,Shana,42.508689,1.539153
9212,Pelleteria Aries,42.507599,1.522379
