id,name,lat,long
19702,Parador Canaro,42.579563,1.659402
139009,Epic Andorra,42.495116,1.498189
137019,Andorra 3000 Mountain Guides,42.496488,1.498567
44599,Tramuntanya,42.543756,1.523033
44597,Xplorand,42.555101,1.532977
44595,Peu de gat,42.535789,1.581941
44578,Zerolimits Adventure Professionals,42.627764,1.494364
43875,100% Natura - Guies de muntanya,42.549892,1.511669
97563,VSL Sports (Viu Sense LÌ_mits),42.462122,1.498815
20524,Gicafer,42.554123,1.533532
9901,Pas a Pas,42.533224,1.582809
9895,Muntanya Activa,42.536384,1.582662
9897,Guies d'Andorra - Natura i Aventura,42.566246,1.596558
9889,Desconnecta i Aventura't,42.530271,1.599106
9887,ExperiÌ¬ncia en Muntanya,42.555461,1.532813
9883,Ensagents Aventures,42.567778,1.601667
9907,Heliand - Vols en helicÌ_pter,42.547022,1.519876
44944,Mushing Pirineus,31.658804,76.945289
19314,Palau de Gel,42.56593,1.597832
